division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
768,2010.679443,2010.841064,Y,15-49,MICS,MW,0.135345428,0.016414112,NA,NA,0.372,N,NA,N,,N,NA,None,None,N,NA,Y,0.007584247,0.00240758,0.010193327,0.064931348,0.149442857,0.043171625,5036,Y_1409
716,2009.298584,2009.408203,Y,15-49,MICS,MW,0.63,0.010001697,NA,0.010001697,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.006976627,0.00151821,0,0.030588091,0.154958022,NA,5044,Y_1414
4,2010.246582,2010.997314,Y,15-49,National survey,MW,0.199,0.019,NA,0.019,NA,N,NA,Y,Excluding areas in the South zone.,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5045,Y_1415
50,2011.49585,2011.997314,Y,15-49,DHS,MW,0.520512988,0.091613759,NA,NA,0.134735596,N,NA,N,,N,NA,None,None,N,NA,N,0.005521121,0.00309957,0.003462964,0.023031652,0.038736759,0.031618065,5048,Y_1417
508,2011.413696,2011.912354,Y,15-49,DHS,MW,0.113375534,0.002969969,NA,NA,0.238955899,N,NA,N,,N,NA,None,None,N,NA,N,0.004777867,5.93903e-4,0.00606519,0.047577623,0.200907076,0.034308753,5064,Y_1424
524,2011,2011.493164,Y,15-49,DHS,MW,0.431525604,0.065402555,NA,NA,0.275437843,N,NA,N,,N,NA,None,None,N,NA,N,0.010855757,0.004366085,0.007594782,0.045691911,0.073937731,0.048118458,5065,Y_1425
646,2010.665771,2011.243896,Y,15-49,DHS,MW,0.4450373,0.070796006,NA,NA,0.208001766,N,NA,N,,N,NA,None,None,N,NA,N,0.007206557,0.003310065,0.005667876,0.029843429,0.051340477,0.038818259,5066,Y_1426
768,2013.832886,2014.32605,Y,15-49,DHS,MW,0.172668519,0.025916755,NA,NA,0.336058271,N,NA,N,,N,NA,None,None,N,NA,N,0.006688796,0.002758192,0.007120784,0.04748735,0.110856527,0.031253524,5071,Y_1428
800,2011.413696,2011.997314,Y,15-49,DHS,MW,0.26029209,0.039894892,NA,NA,0.342657729,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5072,Y_1429
716,2010.665771,2011.243896,Y,15-49,DHS,MW,0.572586135,0.012736825,NA,NA,0.145691945,N,NA,N,,N,NA,None,None,N,NA,N,0.008949919,0.001859847,0.005411895,0.036608363,0.147840937,0.045370061,5073,Y_1430
104,2007.021973,2007.49585,Y,15-49,National survey,MW,0.384,0.026,NA,0.026,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5142,Y_1467
728,2006,2007,Y,15-49,Other,MW,0.033,0.002,NA,0.002,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5240,Y_1512
686,2010.747925,2011.32605,Y,15-49,DHS,MW,0.120957815,0.010344832,NA,NA,0.30087228,N,NA,N,,N,NA,None,None,N,NA,N,0.005908076,0.001699019,0.007077576,0.05574482,0.166560267,0.034390286,5274,Y_1515
562,2012.084961,2012.49585,Y,15-49,DHS,MW,0.122106441,0.016928957,NA,NA,0.16012979,N,NA,N,,N,NA,None,None,N,NA,N,0.006355241,0.001833781,0.005387588,0.05975709,0.111702122,0.04137812,5413,Y_1530
586,2007.49585,2008.49585,Y,15-49,Other,MW,0.193,0.077,NA,0.077,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5418,Y_1533
324,2012.416382,2012.832886,Y,15-49,DHS,MW,0.046321622,0.009518603,NA,NA,0.236766659,N,NA,N,,N,NA,None,None,N,NA,N,0.004212214,0.001439735,0.007051664,0.095444735,0.152953407,0.039835673,5422,Y_1534
566,2013.084961,2013.493164,Y,15-49,DHS,MW,0.096645528,0.054851856,NA,NA,0.16098638,N,NA,N,,N,NA,None,None,N,NA,N,0.003723233,0.002331152,0.0032218,0.043843585,0.046795246,0.024645518,5447,Y_1550
466,2012.835571,2013.158936,Y,15-49,DHS,MW,0.098914823,0.004533932,NA,NA,0.260032842,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5460,Y_1561
586,2012.750732,2013.32605,Y,15-49,DHS,MW,0.260975888,0.093116665,NA,NA,0.200847433,N,NA,N,,N,NA,None,None,N,NA,N,0.006900718,0.00467159,0.006026915,0.038218537,0.05897193,0.03677573,5461,Y_1562
686,2012.668457,2013.493164,Y,15-49,DHS,MW,0.160899925,0.017479283,NA,NA,0.292097389,N,NA,N,,N,NA,None,None,N,NA,N,0.009696974,0.002158651,0.008102333,0.072646561,0.129031822,0.04133552,5490,Y_1567
566,2012.498657,2013,Y,15-49,National survey,MW,0.107386364,0.027613636,NA,0.027613636,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5549,Y_1570
694,2013.413696,2013.830078,Y,15-49,DHS,MW,0.156031318,0.010274056,NA,NA,0.249937215,N,NA,N,,N,NA,None,None,N,NA,N,0.006226908,0.001435289,0.006110921,0.047589497,0.142403536,0.032892872,5556,Y_1574
728,2010.238403,2010.493164,Y,15-49,MICS,MW,0.015860135,0.024145883,NA,NA,0.263,N,NA,N,,N,NA,None,None,N,NA,Y,0.001792329,0.00252202,0.009373829,0.11504672,0.107177309,0.042293953,5560,Y_1578
454,2013.832886,2014.320557,Y,15-49,MICS,MW,0.573519749,0.012478474,NA,NA,0.194394518,N,NA,N,,N,NA,None,None,N,NA,Y,0.005865323,0.002282069,0.00494642,0.024045286,0.186432493,0.039817284,5582,Y_1592
716,2014.123291,2014.284912,Y,15-49,MICS,MW,0.664610037,0.005095423,NA,NA,0.103821286,N,NA,N,,N,NA,None,None,N,NA,Y,0.005921196,8.16693e-4,0.003685242,0.026590011,0.161009315,0.044248224,5585,Y_1594
50,2012.917847,2013.32605,Y,15-49,MICS,MW,0.592691714,0.024883716,NA,NA,0.138952247,N,NA,N,,N,NA,None,None,N,NA,Y,0.003622931,8.64958e-4,0.002395881,0.015481321,0.03700405,0.021033735,5595,Y_1601
478,2015.49585,2015.912354,Y,15-49,Other,MW,0.156,0.022,NA,NA,0.336,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5638,Y_1611
566,2016.668457,2017.082153,Y,15-49,Other,MW,0.108,0.026,NA,NA,0.276,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5640,Y_1612
120,2014,2015,Y,15-49,MICS,MW,0.161,0.133,0.295,NA,0.179739089,N,NA,N,,N,NA,None,None,N,NA,Y,0.007481466,0.006255019,0.00592349,0.050665317,0.054856172,0.041470511,5641,Y_1613
204,2014.328735,2014.328735,Y,15-49,MICS,MW,0.123580471,0.055051241,NA,NA,0.331408749,N,NA,N,,N,NA,None,None,N,NA,Y,0.005246142,0.003663797,0.005913763,0.048492909,0.070514085,0.028204568,5665,Y_1617
524,2014.084961,2014.493164,Y,15-49,MICS,MW,0.471495786,0.024771369,NA,NA,0.252131307,N,NA,N,,N,NA,None,None,N,NA,Y,0.008317599,0.002380273,0.006087924,0.03298388,0.097212574,0.035303633,5672,Y_1620
324,2016,2017,Y,15-49,MICS,MW,0.078,0.009,NA,NA,0.276,N,NA,N,,N,NA,None,None,N,NA,Y,NA,NA,NA,NA,NA,NA,5676,Y_1624
466,2015.547974,2015.802734,Y,15-49,MICS,MW,0.151058324,0.004658425,NA,NA,0.306804052,N,NA,N,,N,NA,None,None,N,NA,Y,0.006193092,7.02772e-4,0.005717771,0.048387811,0.152286051,0.027078463,5677,Y_1625
694,2017,2018,Y,15-49,MICS,MW,0.218,0.007,NA,NA,0.263,N,NA,N,,N,NA,None,None,N,NA,Y,NA,NA,NA,NA,NA,NA,5679,Y_1626
4,2015.413696,2016.161621,Y,15-49,DHS,MW,0.197840789,0.026864288,NA,NA,0.244653465,N,NA,N,,N,NA,None,None,N,NA,N,0.006802585,0.002147634,0.005415976,0.043837429,0.08503315,0.030762159,5689,Y_1627
800,2015.580811,2015.745239,Y,15-49,PMA,MW,0.3,0.0389501,NA,NA,0.318978574,N,NA,N,,N,NA,None,None,N,NA,N,0.015335907,0.006166515,0.017676348,0.073138787,0.167617052,0.083488893,5722,Y_1631
854,2015.328735,2015.493164,Y,15-49,PMA,MW,0.201,0.008,0.209,NA,0.331745463,N,NA,N,,N,NA,None,None,N,NA,N,0.023160853,0.001942099,0.027748758,0.144281833,0.296806508,0.134645882,5764,Y_1639
404,2015.413696,2015.578125,Y,15-49,PMA,MW,0.588871737,0.021456226,NA,NA,0.170786321,N,NA,N,,N,NA,None,None,N,NA,N,0.016911854,0.004201663,0.010711559,0.070734271,0.202684657,0.07334298,5768,Y_1643
288,2014.665771,2014.997314,Y,15-49,DHS,MW,0.221905801,0.04483632,NA,NA,0.298971607,N,NA,N,,N,NA,None,None,N,NA,N,0.008901581,0.004493475,0.007963907,0.052450767,0.106718553,0.03905529,5778,Y_1646
686,2014,2014.830078,Y,15-49,DHS,MW,0.202815225,0.018802425,NA,NA,0.255578336,N,NA,N,,N,NA,None,None,N,NA,N,0.010679321,0.002691562,0.009196804,0.066379883,0.146910048,0.046544633,5779,Y_1647
404,2014.328735,2014.830078,Y,15-49,DHS,MW,0.532207886,0.04750702,NA,NA,0.090248074,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5780,Y_1648
50,2014.413696,2014.912354,Y,15-49,DHS,MW,0.540553028,0.083920093,NA,NA,0.12010011,N,NA,N,,N,NA,None,None,N,NA,N,0.006400408,0.003787065,0.00459328,0.02838184,0.054012252,0.046407088,5787,Y_1650
508,2015.328735,2015.830078,Y,15-49,DHS,MW,0.253,0.018,NA,NA,0.231,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5794,Y_1653
646,2014.832886,2015.32605,Y,15-49,DHS,MW,0.475,0.058,0.533,NA,0.189465896,N,NA,N,,N,NA,None,None,N,NA,N,0.007763234,0.003465554,0.00565053,0.032560178,0.058789454,0.039537734,5796,Y_1654
716,2015.49585,2015.997314,Y,15-49,DHS,MW,0.657709708,0.009903456,NA,NA,0.104063463,N,NA,N,,N,NA,None,None,N,NA,N,0.009277745,0.001409372,0.005409692,0.040873831,0.140231404,0.06275509,5798,Y_1656
288,2017.452026,2017.778076,Y,15-49,National survey,MW,0.25,0.058,NA,0.058,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5809,Y_1660
454,2015.747925,2016.161621,Y,15-49,DHS,MW,0.580574574,0.011632139,NA,NA,0.186691142,N,NA,N,,N,NA,None,None,N,NA,N,0.005679759,0.001020871,0.004149123,0.023691799,0.090498419,0.030695284,5952,Y_1673
686,2015,2015.830078,Y,15-49,DHS,MW,0.21115488,0.02214682,NA,NA,0.252411679,N,NA,N,,N,NA,None,None,N,NA,N,0.011114861,0.002663296,0.009016747,0.066938519,0.123383054,0.048750854,5955,Y_1675
834,2015.580811,2016.161621,Y,15-49,DHS,MW,0.319839417,0.063755255,NA,NA,0.237075751,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5957,Y_1676
288,2015.328735,2015.493164,Y,15-49,PMA,MW,0.292,0.053661212,NA,NA,0.296841048,N,NA,N,,N,NA,None,None,N,NA,N,0.016020395,0.005546691,0.016273677,0.080829865,0.116665651,0.080087802,5995,Y_1682
404,2014.832886,2014.997314,Y,15-49,PMA,MW,0.556,0.008157685,NA,NA,0.216518948,N,NA,N,,N,NA,None,None,N,NA,N,0.016274276,0.002460384,0.012385628,0.067486308,0.310471148,0.068375574,5996,Y_1683
800,2015,2015.158936,Y,15-49,PMA,MW,0.318,0.030529559,NA,NA,0.329743311,N,NA,N,,N,NA,None,None,N,NA,N,0.017799673,0.005516257,0.015430249,0.082879374,0.18930294,0.069799881,5998,Y_1685
404,2015.832886,2015.997314,Y,15-49,PMA,MW,0.623,0.021716764,NA,NA,0.168940393,N,NA,N,,N,NA,None,None,N,NA,N,0.014450869,0.006109029,0.010379752,0.063213087,0.294458082,0.077835337,6037,Y_1707
204,2017,2019,Y,15-49,DHS,MW,0.124,0.031,NA,NA,0.323,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,6055,Y_1709
104,2015.915039,2016.580811,Y,15-49,DHS,MW,0.512750859,0.009680649,NA,NA,0.162404669,N,NA,N,,N,NA,None,None,N,NA,N,0.008274752,0.001541918,0.0051835,0.033153868,0.160926379,0.038942279,6084,Y_1712
524,2016.416382,2017.082153,Y,15-49,DHS,MW,0.42790427,0.098229515,NA,NA,0.237322078,N,NA,N,,N,NA,None,None,N,NA,N,0.008230286,0.004879197,0.005667798,0.034141517,0.055890179,0.03980768,6086,Y_1713
800,2016.416382,2016.915039,Y,15-49,DHS,MW,0.343873126,0.045747783,NA,NA,0.307315387,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,6099,Y_1716
854,2016.164429,2016.413696,Y,15-49,PMA,MW,0.242199745,0.012424916,NA,NA,0.286317923,N,NA,N,,N,NA,None,None,N,NA,N,0.019056809,0.002473555,0.016736765,0.104601259,0.206103931,0.090748626,6107,Y_1717
800,2016.249268,2016.413696,Y,15-49,PMA,MW,0.322,0.044870862,NA,NA,0.305262075,N,NA,N,,N,NA,None,None,N,NA,N,0.014171225,0.005433101,0.012551804,0.065956094,0.12879733300000001,0.060040945,6114,Y_1718
562,2016.142456,2016.32605,Y,15-49,PMA,MW,0.144,0.021532343,NA,NA,0.24130218,N,NA,N,,N,NA,None,None,N,NA,N,0.02126561,0.00651196,0.019606462,0.169692883,0.312496261,0.125503435,6116,Y_1720
288,2016.583618,2016.915039,Y,15-49,PMA,MW,0.258,0.047731008,NA,NA,0.33040952,N,NA,N,,N,NA,None,None,N,NA,N,0.015272768,0.008347309,0.010913624,0.079889941,0.185822983,0.06670198,7360,Y_1731
586,2017.49585,2018.243896,Y,15-49,DHS,MW,0.25,0.092,NA,NA,0.173,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7367,Y_1734
686,2016,2016.832886,Y,15-49,DHS,MW,0.230113501,0.021212228,NA,NA,0.236204738,N,NA,N,,N,NA,None,None,N,NA,N,0.009654763,0.002841209,0.008044589,0.054205013,0.135692717,0.044681784,7370,Y_1736
450,2012,2014,Y,15-49,National survey,MW,0.333,0.064,NA,0.064,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7412,Y_1738
586,2013.49585,2014.493164,Y,15-49,National survey,MW,NA,NA,0.32,NA,NA,N,NA,Y,Excluding some areas in the Balochistan province.,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7423,Y_1742
800,2017.246582,2017.411011,Y,15-49,PMA,MW,0.339,0.041567702,NA,NA,0.293508574,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7481,Y_1750
854,2016.835571,2017.082153,Y,15-49,PMA,MW,0.246,0.009007027,NA,NA,0.290538986,N,NA,N,,N,NA,None,None,N,NA,N,0.015075454,0.002082654,0.018526625,0.082178074,0.237973115,0.097741313,7483,Y_1752
404,2016.835571,2017,Y,15-49,PMA,MW,0.599,0.016140894,NA,NA,0.156277374,N,NA,N,,N,NA,None,None,N,NA,N,0.014579981,0.00270171,0.011078696,0.061776606,0.173620298,0.093264763,7484,Y_1753
288,2017.665771,2017.912354,Y,15-49,PMA,MW,0.274,0.056,NA,NA,0.263,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7497,Y_1758
562,2017.328735,2017.745239,Y,15-49,PMA,MW,0.181,0.007434797,NA,NA,0.22186416,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7514,Y_1768
4,2012.583618,2013,Y,15-49,Other,MW,0.138,NA,0.138,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7515,Y_1769
686,2017.246582,2017.997314,Y,15-49,DHS,MW,0.263,0.014,0.278,NA,0.219,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7630,Y_1776
450,2017.454834,2017.599976,Y,15-49,National survey,MW,0.389,0.09,NA,NA,0.164,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7650,Y_1779
854,2017.832886,2018.082153,Y,15-49,PMA,MW,0.30138717,0.015100954,NA,NA,0.227987605,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7655,Y_1784
800,2018.246582,2018.411011,Y,15-49,PMA,MW,0.363,0.055,NA,NA,0.26,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7658,Y_1787
728,2015.084961,2015.493164,Y,15-49,National survey,AL,NA,NA,0.05,NA,NA,N,NA,Y,Excluding Unity state and some counties in Upper Nile,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7659,Y_1788
728,2011.246582,2011.411011,Y,15-49,National survey,AL,NA,NA,0.065,NA,NA,N,NA,Y,"Excluding Fangak, Khorflus, Pachala and Akobo counties in Jonglei and Abyei county in Warrap",N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,7660,Y_1789
466,2018,2018,Y,15-49,DHS,MW,0.164,0.008,0.172,0.247,0.239,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,NA,
324,2018.162,2018.414,Y,15-49,DHS,MW,0.106,0.003,0.109,0.224,0.221,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,NA,
404,2018.833,2018.915,Y,15-49,PMA,MW,0.607,0.021,0.628,0.159,0.138,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,NA,
508,2009.444,2009.789,Y,15-49,National survey,MW,0.104,0.011,0.116,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,NA,
