division_numeric_code,name,year,emu,ss_type
120,Cameroon,2014.5,0.0264,facilities
120,Cameroon,2015.5,0.0358,facilities
120,Cameroon,2016.5,0.0595,facilities
120,Cameroon,2017.5,0.1142,facilities
454,Malawi,2012.5,0.3604,visits
454,Malawi,2013.5,0.375,visits
454,Malawi,2014.5,0.392,visits
454,Malawi,2015.5,0.4071,visits
454,Malawi,2016.5,0.4111,visits
454,Malawi,2017.5,0.3941,visits
508,Mozambique,2013.5,0.1189,clients
508,Mozambique,2014.5,0.1684,clients
508,Mozambique,2015.5,0.2177,clients
508,Mozambique,2016.5,0.2978,clients
508,Mozambique,2017.5,0.3411,clients
524,Nepal,2013.5,0.1115,facilities
524,Nepal,2014.5,0.0989,facilities
524,Nepal,2015.5,0.1065,facilities
524,Nepal,2016.5,0.0861,facilities
524,Nepal,2017.5,0.0858,facilities
646,Rwanda,2013.5,0.72,users
646,Rwanda,2014.5,0.75,users
646,Rwanda,2015.5,0.71,users
646,Rwanda,2016.5,0.74,users
646,Rwanda,2017.5,0.77,users
716,Zimbabwe,2013.5,0.37,facilities
716,Zimbabwe,2014.5,0.37,facilities
716,Zimbabwe,2015.5,0.42,facilities
716,Zimbabwe,2016.5,0.42,facilities
716,Zimbabwe,2017.5,0.4,facilities